name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url,globalid,detector
"№ 528, гимназия",../../anglijskij-yazyik/528-gimnaziya/index.html,a460,nevskij,14,60.0,4.2,4.6,Английский язык|Немецкий язык,../data/shkola-spb.ru/cache/anglijskijyazyik528gimnaziyaindexhtml.htm,8125895373,school528.spb.ru,385dedef64cb688b59b25e7512e03de0,select_exactly
"№ 498, гимназия",../../sredneobrazovatelnaya-shkola/498-gimnaziya/index.html,a455,nevskij,2,59.4,3.9,7.0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola498gimnaziyaindexhtml.htm,8124467558|8124461857,gym498.ru,fd3ed07407bf2246d38534f3b0d1eaf4,select_exactly
"№ 13, школа с углубленным изучением английского языка",../../anglijskij-yazyik/13-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a422,nevskij,16,59.3,4.0,4.5,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik13shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8125853328,school13spb.ru,e54bf3e222181035d88f01880c1322cf,select_by_number
"№ 348, школа",../../sredneobrazovatelnaya-shkola/348-shkola/index.html,a451,nevskij,"",58.9,"",6.7,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola348shkolaindexhtml.htm,8124173559,348spb.edusite.ru,3e73d3580d7b9963b16d1e5a6c3d6c48,select_exactly
"№ 557, школа",../../sredneobrazovatelnaya-shkola/557-shkola/index.html,a461,nevskij,2,58.7,4.0,3.6,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola557shkolaindexhtml.htm,8127071984|8127072000,school557.ucoz.com,1501ecea4a2e61dbc025464364213754,select_exactly
"№ 571, школа с углубленным изучением английского языка",../../anglijskij-yazyik/571-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a464,nevskij,3,58.5,4.0,4.7,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik571shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8127072808|8127073453,school571spb.ru,805688feab291ae4bc812ef24255eeb6,select_by_number
"№ 330, гимназия",../../sredneobrazovatelnaya-shkola/330-gimnaziya/index.html,a434,nevskij,"",58.2,3.7,5.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola330gimnaziyaindexhtml.htm,8125677878|8125675040,school-330.narod.ru,5dc679d7676f23222a2ca0494ea4dd84,select_exactly
"№ 345, школа",../../sredneobrazovatelnaya-shkola/345-shkola/index.html,a448,nevskij,3,57.9,3.7,7.1,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola345shkolaindexhtml.htm,8123624443|8123622488,www.school345spb.ru,6869173e788f179af24085c481cadb50,select_exactly
"№ 331, школа",../../sredneobrazovatelnaya-shkola/331-shkola/index.html,a435,nevskij,2,57.9,3.9,6.0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola331shkolaindexhtml.htm,8124176144,school331.ru,c88b02e9020c91b25f8a7d4f9ecbf4c6,select_exactly
"№ 641, школа с углубленным изучением английского языка",../../anglijskij-yazyik/641-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a472,nevskij,3,57.8,3.9,6.1,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik641shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8124409380|8124401764,school641.ru,a4b12802785384af2500b62aa7b657f0,select_by_number
