name,href,id,area
"№ 130, прогимназия",../../nachalnaya-shkola/130-progimnaziya/index.html,a108,vyiborgskij
"№ 677, прогимназия интеллектуального, художественно-эстетического и физического развития воспитанников и обучающихся",../../sredneobrazovatelnaya-shkola/677-progimnaziya-intellektualnogo-hudozhestvenno-esteticheskogo-i-fizicheskogo-razvitiya-vospitannikov-i-obuchayuschihsya/index.html,a134,vyiborgskij
"РОСТ, частная школа",../../nachalnaya-shkola/rost-chastnyij-detskij-sad-shkola/index.html,a139,vyiborgskij
"МАСТЕР-КЛАСС, школа вариативного обучения",../../sredneobrazovatelnaya-shkola/master-klass-shkola-variativnogo-obucheniya/index.html,a141,vyiborgskij
"№ 1, школа-интернат (I вида) для неслышащих детей",../../deti-s-osobennostyami-razvitiya/shkola-internat-1/index.html,a770,vyiborgskij
"№ 6, коррекционная школа V вида для детей с нарушениями речи",../../deti-s-osobennostyami-razvitiya/6-korrektsionnaya-shkola-v-vida-dlya-detej-s-narusheniyami-rechi/index.html,a779,vyiborgskij
"№ 487, специальная (коррекционная) школа (VIII вида)",../../deti-s-osobennostyami-razvitiya/-487-spetsialnaya-korrektsionnaya-shkola-viii-vida/index.html,a1098,vyiborgskij
"№ 482, школа",../../sredneobrazovatelnaya-shkola/-482-shkola/index.html,a1120,vyiborgskij
"№ 108, школа [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/108-shkola/index.html,a98,vyiborgskij
"№ 563, школа «Пушкинский лицей» [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/563-shkola-pushkinskij-litsej/index.html,a129,vyiborgskij
"ФТШ, лицей «Физико-техническая школа» Академического университета",../../matematika/566-litsej-fiziko-tehnicheskaya-shkola-ran/index.html,a135,kalininskij
"№ 470, лицей",../../anglijskij-yazyik/470-gimnaziya-s-uglublennyim-izucheniem-anglijskogo-yazyika-matematiki-i-informatiki/index.html,a183,kalininskij
"№ 126, лицей",../../biologiya/126-litsej/index.html,a160,kalininskij
"№ 63, гимназия с углубленным изучением иностранных языков",../../inostrannyie-yazyiki/63-gimnaziya-s-uglublennyim-izucheniem-inostrannyih-yazyikov/index.html,a143,kalininskij
"№ 95, лицей",../../sredneobrazovatelnaya-shkola/95-litsej/index.html,a154,kalininskij
"№ 144, лицей",../../sredneobrazovatelnaya-shkola/144-gimnaziya/index.html,a166,kalininskij
"№ 179, лицей",../../meditsina/179-litsej/index.html,a179,kalininskij
"№ 150, лицей",../../sredneobrazovatelnaya-shkola/150-litsej/index.html,a171,kalininskij
"№ 148, гимназия им. Сервантеса",../../drugie-yazyiki/148-gimnaziya-im-servantesa/index.html,a169,kalininskij
"№ 619, школа",../../sredneobrazovatelnaya-shkola/619-shkola/index.html,a187,kalininskij
"№ 159, Бестужевская гимназия",../../sredneobrazovatelnaya-shkola/159-bestuzhevskaya-gimnaziya/index.html,a174,kalininskij
"№ 98, школа с углубленным изучением английского языка",../../anglijskij-yazyik/98-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a156,kalininskij
"№ 192, Брюсовская гимназия",../../inostrannyie-yazyiki/192-bryusovskaya-gimnaziya/index.html,a182,kalininskij
"№ 111, школа с углубленным изучением немецкого языка",../../inostrannyie-yazyiki/111-shkola-s-uglublennyim-izucheniem-nemetskogo-yazyika/index.html,a157,kalininskij
"№ 89, школа",../../sredneobrazovatelnaya-shkola/89-shkola/index.html,a152,kalininskij
"№ 71, школа",../../sredneobrazovatelnaya-shkola/71-shkola/index.html,a146,kalininskij
"№ 139, школа с углубленным изучением математики",../../matematika/139-shkola-s-uglublennyim-izucheniem-matematiki/index.html,a165,kalininskij
"№ 119, школа с углубленным изучением английского языка",../../anglijskij-yazyik/119-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a158,kalininskij
"№ 138, школа",../../sredneobrazovatelnaya-shkola/138-shkola/index.html,a164,kalininskij
"№ 158, школа",../../sredneobrazovatelnaya-shkola/158-shkola/index.html,a173,kalininskij
"№ 78, школа",../../sredneobrazovatelnaya-shkola/78-shkola/index.html,a148,kalininskij
"№ 72, школа с углубленным изучением немецкого языка",../../inostrannyie-yazyiki/72-shkola-s-uglublennyim-izucheniem-nemetskogo-yazyika/index.html,a147,kalininskij
"№ 156, школа с углубленным изучением информатики",../../informatika/156-shkola-s-uglublennyim-izucheniem-informatiki/index.html,a172,kalininskij
"№ 69, школа",../../sredneobrazovatelnaya-shkola/69-shkola/index.html,a145,kalininskij
"№ 79, школа",../../anglijskij-yazyik/79-shkola/index.html,a149,kalininskij
"№ 121, школа",../../sredneobrazovatelnaya-shkola/121-shkola/index.html,a159,kalininskij
"№ 9, школа-интернат VI вида",../../deti-s-osobennostyami-razvitiya/9-shkola-internat-vi-vida/index.html,a783,kalininskij
"№ 88, школа",../../sredneobrazovatelnaya-shkola/88-shkola/index.html,a151,kalininskij
"№ 692, школа",../../anglijskij-yazyik/692-shkola/index.html,a191,kalininskij
"№ 137, школа",../../sredneobrazovatelnaya-shkola/137-shkola/index.html,a163,kalininskij
"№ 653, школа с углубленным изучением иностранных языков (хинди и английский)",../../anglijskij-yazyik/653-shkola-s-uglublennyim-izucheniem-inostrannyih-yazyikov-hindi-i-anglijskij/index.html,a190,kalininskij
"№ 68, школа",../../sredneobrazovatelnaya-shkola/68-shkola/index.html,a144,kalininskij
"№ 184, школа",../../voennoe-uchilische/184-shkola-kadetskij-klass/index.html,a180,kalininskij
"№ 175, школа с углубленным изучением предметов художественно-эстетического цикла",../../hudozhestvenno-esteticheskoe-obrazovanie/175-shkola-s-uglublennyim-izucheniem-predmetov-hudozhestvenno-esteticheskogo-tsikla/index.html,a177,kalininskij
"№ 473, школа",../../hudozhestvenno-esteticheskoe-obrazovanie/473-shkola-s-uglublennyim-izucheniem-predmetov-hudozhestvenno-esteticheskogo-tsikla/index.html,a184,kalininskij
"№ 145, школа (кадетские классы)",../../voennoe-uchilische/145-shkola-kadetskie-klassyi/index.html,a167,kalininskij
"№ 128, школа",../../sredneobrazovatelnaya-shkola/128-shkola/index.html,a161,kalininskij
"№ 81, школа",../../sredneobrazovatelnaya-shkola/81-shkola/index.html,a150,kalininskij
